Навык,Бэкенд разработчик,Фронтенд разработчик,Веб-разработчик,Фулстек разработчик,Разработчик мобильных приложений,Разработчик приложений,Десктоп разработчик,Релиз менеджер,Разработчик игр,Разработчик баз данных,Инженер встраиваемых систем,HTML-верстальщик,Программист 1С,Системный инженер,ERP-программист,Архитектор программного обеспечения,Технический директор,Архитектор баз данных,Инженер по ручному тестированию,Инженер по автоматизации тестирования,Инженер по обеспечению качества,Инженер по производительности,UX-тестировщик,Аналитик по обеспечению качества,Менеджер по обеспечению качества,Директор по обеспечению качества,Системный аналитик,Аналитик мобильных приложений,Бизнес-аналитик,Аналитик по данным,Инженер по данным,Программный аналитик,Продуктовый аналитик,BI-разработчик,Веб-аналитик,Аналитик 1С,UI/UX дизайнер,Продуктовый дизайнер,Веб дизайнер,Графический дизайнер,Дизайнер приложений,Нарративный дизайнер,Художник компьютерной графики,Менеджер проекта,Директор проекта,Менеджер продукта,Директор по продукту,Scrum-мастер,Менеджер сообщества,Программный менеджер,Исполнительный директор,Генеральный директор,Пентестер,Администратор защиты,Специалист по реверс-инжинирингу,Инженер по безопасности,Антифрод аналитик,Ученый по данным,ML разработчик,Инженер технической поддержки,Менеджер технической поддержки,Директор технической поддержки,Аналитик технической поддержки,Менеджер по обслуживанию клиентов,Модератор,Менеджер по маркетингу,Маркетинговый аналитик,SEO-специалист,SMM-специалист,Таргетолог,Деврел,PR-менеджер,Контекстолог,DevOps-инженер,Системный администратор,Администратор серверов,Администратор баз данных,Сетевой инженер,Инженер по доступности сервисов,MLOps-инженер,Технический писатель,Создатель контента,Менеджер по контенту,Копирайтер,Менеджер по работе с клиентами,Менеджер по продажам,Директор по продажам,Менеджер по персоналу,Менеджер по найму,Директор по персоналу,Аналитик по персоналу,Менеджер по развитию HR-бренда,Офис менеджер,Бухгалтер,Зерокодер
ASP.NET,10,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASP.NET MVC,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASP.NET WEB API,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AWS,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Active directory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acunetix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adobe After Effects,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adobe Illustrator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adobe Photoshop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aerospike,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
